"transaction_id","transaction_date","customer_id","amount"
1,"2012-09-04",1,20.96
2,"2012-05-15",2,10.87
3,"2014-05-23",2,2.21
4,"2014-10-24",2,10.48
5,"2012-10-13",2,3.94
6,"2013-01-23",2,12.37
7,"2014-03-09",2,1.59
8,"2013-11-17",2,2.75
9,"2014-10-10",2,3.51
10,"2012-11-26",3,21.58
11,"2013-03-14",3,15.43
12,"2014-03-10",3,5.45
13,"2015-04-28",3,1.67
14,"2014-10-08",3,2.23
15,"2013-03-20",3,9.92
16,"2015-08-10",3,6.16
17,"2015-07-07",4,0.54
18,"2015-01-24",5,14.54
19,"2015-04-11",5,6.9
20,"2013-02-07",6,2.56
21,"2012-08-16",7,17.02
22,"2013-02-01",7,8.08
23,"2012-10-05",7,9.44
24,"2012-01-23",8,6.21
25,"2013-10-18",8,2.35
26,"2015-12-14",8,0.52
27,"2014-06-09",8,6.58
28,"2010-02-04",9,0.74
29,"2014-05-23",9,11.87
30,"2010-12-06",9,15.5
31,"2011-09-14",9,11.46
32,"2014-07-12",9,7.99
33,"2010-08-26",9,2.97
34,"2010-09-17",10,12.37
35,"2015-03-09",10,5.99
36,"2014-02-23",11,0.95
37,"2014-03-18",11,8.81
38,"2014-05-27",11,10.94
39,"2011-07-26",12,20.21
40,"2011-09-14",12,12.97
41,"2013-08-23",12,4.78
42,"2015-11-18",12,2.4
43,"2011-09-28",12,13.91
44,"2015-05-25",12,17.6
45,"2011-05-09",13,0.5
46,"2012-09-29",13,10.21
47,"2013-10-22",13,5.1
48,"2012-08-24",13,16.46
49,"2011-06-11",13,9.67
50,"2012-04-13",13,7.08
51,"2013-05-07",13,14.45
52,"2014-07-31",13,10.63
53,"2015-01-29",13,37.27
54,"2012-07-21",13,20.44
55,"2013-12-17",13,7.84
56,"2012-06-29",13,2.05
57,"2014-06-22",13,0.36
58,"2012-03-18",13,3.43
59,"2014-09-06",13,4.78
60,"2013-02-16",13,1.29
61,"2012-01-21",14,28.72
62,"2013-10-06",14,0.86
63,"2013-11-11",14,9.22
64,"2014-09-10",15,6.63
65,"2015-08-08",15,1.85
66,"2015-03-19",15,0.6
67,"2015-01-31",15,2.69
68,"2014-09-28",15,17.84
69,"2015-01-22",16,6
70,"2015-03-21",16,2.51
71,"2015-09-27",16,8.34
72,"2015-08-22",16,11.32
73,"2014-08-25",17,10.8
74,"2015-10-10",17,18.33
75,"2015-09-05",17,6.01
76,"2012-04-28",18,11.01
77,"2013-11-22",18,15.04
78,"2013-05-24",18,0.21
79,"2013-08-20",18,18.05
80,"2012-09-19",18,4.53
81,"2014-06-15",18,6.24
82,"2013-06-18",18,8.38
83,"2010-10-26",19,3.67
84,"2011-03-01",19,19.6
85,"2014-07-01",19,4.55
86,"2015-05-27",20,1.5
87,"2015-09-02",20,0.49
88,"2013-05-26",21,14.07
89,"2013-08-04",21,10.33
90,"2015-02-11",21,5.81
91,"2014-11-17",21,15.92
92,"2013-11-25",21,10.72
93,"2015-05-12",21,9.36
94,"2010-04-05",22,5.03
95,"2012-12-06",23,2.26
96,"2013-05-09",23,10.95
97,"2014-09-01",23,0.19
98,"2013-08-20",23,4.43
99,"2014-03-26",23,2.47
100,"2012-02-10",24,8.23
101,"2014-09-06",24,7.73
102,"2012-12-04",24,5.62
103,"2015-02-13",24,6.98
104,"2014-03-01",24,5.68
105,"2013-10-19",24,13.45
106,"2014-03-02",24,5.35
107,"2015-10-26",25,14.47
108,"2014-09-27",26,3.45
109,"2013-07-31",27,3.9
110,"2013-08-16",27,1.18
111,"2014-06-25",27,2.81
112,"2013-11-09",27,4.68
113,"2014-08-06",27,7.66
114,"2012-02-22",28,9.32
115,"2014-07-21",29,0.96
116,"2011-07-27",30,1.81
117,"2015-10-13",30,9.93
118,"2012-02-12",30,3.27
119,"2015-12-06",30,0.52
120,"2015-02-16",30,5.14
121,"2012-12-18",31,3.95
122,"2014-01-30",31,9.81
123,"2015-09-11",31,10.26
124,"2014-10-04",32,10.91
125,"2015-01-22",32,12.28
126,"2014-11-30",32,21.13
127,"2012-08-29",33,2.78
128,"2013-10-14",33,13.44
129,"2015-10-25",33,1.77
130,"2014-05-26",33,2.65
131,"2012-01-01",34,12.03
132,"2015-09-01",34,4.92
133,"2015-03-28",34,1.91
134,"2013-04-25",34,13.82
